epoch,train_loss,valid_loss,train_norm_q,train_tokens_q,train_residual_q,train_norm_h2,train_tokens_h2,train_residual_h2,train_p_h2_present,train_norm_h3,train_tokens_h3,train_residual_h3,train_p_h3_present,train_norm_h4,train_tokens_h4,train_residual_h4,train_p_h4_present,valid_norm_q,valid_tokens_q,valid_residual_q,valid_norm_h2,valid_tokens_h2,valid_residual_h2,valid_p_h2_present,valid_norm_h3,valid_tokens_h3,valid_residual_h3,valid_p_h3_present,valid_norm_h4,valid_tokens_h4,valid_residual_h4,valid_p_h4_present,valid_rmse,valid_mae,valid_r2
0,0.7944001870495933,0.804444830758231,6.342465877532959,11.759821891784668,0.0,2.037100315093994,3.619345188140869,0.9723214507102966,0.9809523820877075,1.635109782218933,2.005654811859131,1.4145833253860474,0.7446428537368774,0.45790329575538635,0.3452380895614624,0.3392857015132904,0.20148809254169464,6.204197883605957,11.764286041259766,0.0,2.2843129634857178,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.6912204027175903,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.47637468576431274,0.3976190388202667,0.38333332538604736,0.21190476417541504,1.0866403843523373,0.8701603412628174,0.20333235808809058
1,0.6666542728741963,0.7575573455719721,6.3394622802734375,11.770535469055176,0.0,2.2424559593200684,3.6244046688079834,0.9699404835700989,0.9809523820877075,1.6685892343521118,2.011904716491699,1.4217262268066406,0.7422618865966797,0.41895830631256104,0.3434523940086365,0.3389880955219269,0.19910714030265808,6.204197883605957,11.764286041259766,0.0,2.6083810329437256,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.6221938133239746,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.37338510155677795,0.3976190388202667,0.38333332538604736,0.21190476417541504,1.0544972566050714,0.8263835310935974,0.24976654903587991
2,0.6012444740249997,0.6431043250220162,6.343430995941162,11.739880561828613,0.0,2.298835515975952,3.64255952835083,0.9910714030265808,0.9809523820877075,1.6858346462249756,2.0077381134033203,1.4086309671401978,0.7482143044471741,0.40045830607414246,0.34375,0.3389880955219269,0.20267857611179352,6.204197883605957,11.764286041259766,0.0,2.225508213043213,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.6962796449661255,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.41583845019340515,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.971579695114163,0.7699757814407349,0.36311302203400597
3,0.5446342936583928,0.5955674807230632,6.345487594604492,11.740178108215332,0.0,2.3033714294433594,3.6348214149475098,0.9851190447807312,0.9809523820877075,1.681336760520935,2.0181548595428467,1.4244047403335571,0.7440476417541504,0.3995685279369354,0.3482142984867096,0.3425595164299011,0.1994047611951828,6.204197883605957,11.764286041259766,0.0,2.4131267070770264,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.6762889623641968,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.3896360993385315,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.9349818424766914,0.7403286695480347,0.41019035519059244
4,0.5072079435700462,0.6088511557806106,6.345269680023193,11.749404907226562,0.0,2.448543071746826,3.633035659790039,0.9744047522544861,0.9809523820877075,1.686316967010498,2.014880895614624,1.4148809909820557,0.744940459728241,0.4035813808441162,0.34285715222358704,0.3375000059604645,0.20208333432674408,6.204197883605957,11.764286041259766,0.0,2.421975612640381,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.7027357816696167,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.3790570795536041,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.9453514343314594,0.755264401435852,0.3970350354892528
5,0.486118966057187,0.5701629797617594,6.340841293334961,11.748214721679688,0.0,2.2374966144561768,3.623809576034546,0.9827380776405334,0.9809523820877075,1.6689094305038452,1.993154764175415,1.385119080543518,0.744940459728241,0.409013032913208,0.34613096714019775,0.3422619104385376,0.2008928507566452,6.204197883605957,11.764286041259766,0.0,2.2326500415802,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.7951074838638306,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.46284425258636475,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.9148232318456923,0.7293582558631897,0.43534928029254216
6,0.45430422184013186,0.5457548663729713,6.344201564788818,11.763988494873047,0.0,2.3032493591308594,3.630357027053833,0.9845238327980042,0.9809523820877075,1.6347647905349731,2.009226083755493,1.4110119342803955,0.7398809790611267,0.4519888460636139,0.33273810148239136,0.3273809552192688,0.19315476715564728,6.204197883605957,11.764286041259766,0.0,2.2701916694641113,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.7166489362716675,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.46172866225242615,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.8950277558077343,0.7067242860794067,0.45952140689453935
7,0.42727263541448685,0.5521641708555676,6.3419084548950195,11.753273963928223,0.0,2.406222343444824,3.6321427822113037,0.9883928298950195,0.9809523820877075,1.7159157991409302,2.0333333015441895,1.436309576034546,0.7443452477455139,0.4505063593387604,0.3315476179122925,0.32648810744285583,0.19315476715564728,6.204197883605957,11.764286041259766,0.0,2.336543560028076,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.828298568725586,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.4722561538219452,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.9002680167503689,0.7085481286048889,0.4531740114660603
8,0.40860969920953116,0.5459092140197754,6.339344501495361,11.739583015441895,0.0,2.48246431350708,3.6395833492279053,0.9907737970352173,0.9809523820877075,1.7346020936965942,2.010714292526245,1.4110119342803955,0.749404788017273,0.44944432377815247,0.34315475821495056,0.337797611951828,0.19613094627857208,6.204197883605957,11.764286041259766,0.0,2.4495747089385986,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.6779683828353882,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.41791534423828125,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.8951543445270571,0.6860172748565674,0.45936850190565015
9,0.3857771206469763,0.555351448059082,6.344581127166748,11.7306547164917,0.0,2.46742844581604,3.6446428298950195,0.9937499761581421,0.9809523820877075,1.6685206890106201,2.0250000953674316,1.429464340209961,0.7401785850524902,0.411813884973526,0.3404761850833893,0.3348214328289032,0.19613094627857208,6.204197883605957,11.764286041259766,0.0,2.3148398399353027,3.7047619819641113,0.9928571581840515,0.9809523820877075,1.76323401927948,2.0214285850524902,1.4214285612106323,0.7595238089561462,0.4896358251571655,0.3976190388202667,0.38333332538604736,0.21190476417541504,0.9028626308341197,0.6968635320663452,0.45001752107823956
